"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"somclid_prkm"
"ENSMUSG00000023087_Ccrn4l"	29.135	13.05	4.1	7.095	18.355	24.04	24.165	20.805	10
"ENSMUSG00000078872_Gm14401"	15.905	29.79	4.78	4.265	5.07	2.72	2.195	3.01	2
"ENSMUSG00000030793_Pycard"	28.92	20.37	0.81	0.355	0.525	0.1	0.075	0.08	1
"ENSMUSG00000026921_Egfl7"	29.17	22.76	11.92	3.795	3.35	4.755	6.375	7.945	1
"ENSMUSG00000001986_Gria3"	0.185	0.37	3.14	9.685	12.11	17.435	19.725	29.535	10
"ENSMUSG00000055202_Zfp811"	2.08	2.88	9.23	29.13	19.59	7.445	4.615	5.065	6
"ENSMUSG00000060499_Rpl10l"	27.63	27.62	5.17	3.02	1.115	0.03	0.05	0.02	1
"ENSMUSG00000022485_Hoxc5"	0.035	0.04	17.05	9.96	27.61	29.73	23.63	15.12	8
"ENSMUSG00000040640_Erc2"	2.005	1.94	3.16	5.225	29.655	28.255	21.44	16.145	8
"ENSMUSG00000064125_BC068157"	1.48	3.37	12.34	29.725	24.515	16.65	10.25	8.79	6
"ENSMUSG00000014773_Dll1"	1.515	1.35	29.92	24.66	6.425	2.965	2.685	2.71	5
"ENSMUSG00000031902_Nfatc3"	20.215	29.94	22.14	15.72	5.245	2.53	2.585	3.665	3
"ENSMUSG00000020974_Pole2"	29.735	22.2	17.71	6.725	2.74	0.27	0.18	0.13	2
"ENSMUSG00000031543_Ank1"	0.075	0.07	0.6	1.97	6.285	12.69	19.15	29.5	10
"ENSMUSG00000021391_Cenpp"	27.71	23.18	13.01	4.04	3.23	1.41	1.43	0.975	2
"ENSMUSG00000001281_Itgb7"	27.145	14.84	0.15	0.155	0.145	0.195	0.2	0.085	1
"ENSMUSG00000034832_Tet3"	1.445	2.81	14.27	28	10.79	11.225	8.425	6.295	6
"ENSMUSG00000030050_Gkn1"	0.025	0.03	23	27.715	1.04	10.685	11.34	16.07	6
"ENSMUSG00000024427_Spry4"	29.9	21.99	0.81	2.55	7.4	6.815	6.015	4.925	1
"ENSMUSG00000033589_Reep4"	26.705	30.02	19.59	9.78	5.16	1.79	2.03	1.845	3
"ENSMUSG00000042607_Asb4"	0.335	3.51	18.01	29.775	0.53	0.435	0.515	0.385	5
"ENSMUSG00000042763_Maneal"	2.825	4.19	4.84	11.155	21.72	28.63	26.86	24.375	9
"ENSMUSG00000050732_Vamp8"	14.04	12.55	30.07	20.715	4.75	2.06	1.145	2.155	4
"ENSMUSG00000048899_Rimkla"	1.505	1.58	0.79	1.29	10.08	26.045	30.07	26.84	10
"ENSMUSG00000004661_Arid3b"	25.31	30.09	7.88	6.285	3.695	0.74	0.695	0.7	2
"ENSMUSG00000042216_Sgsm1"	4.465	5.03	3.56	3.97	10.975	18.615	23.065	30.015	10
"ENSMUSG00000041216_Clvs1"	0.025	0	6.64	14.39	29.995	22.795	22.255	24.78	8
"ENSMUSG00000026563_Tada1"	2.945	4.66	21.99	29.295	29.22	20.475	20.955	22.09	7
"ENSMUSG00000001053_N4bp3"	27.025	14.76	2.37	0.925	8.225	15.76	21.205	17.35	1
"ENSMUSG00000020524_Gria1"	0.015	0.03	1.12	1.25	12.695	28.325	29.665	29.12	10
"ENSMUSG00000011267_Zfp296"	25.155	13.66	0.66	0.71	0.575	0.005	0.105	0.08	1
"ENSMUSG00000040631_Dok4"	2.38	2.25	3.96	8.915	30.17	16.775	10.735	8.8	7
"ENSMUSG00000050530_Fam171a1"	3.1	3.45	17.64	24.675	30.035	22.61	17.13	14.76	7
"ENSMUSG00000039257_Vstm2b"	0.19	2.49	7.19	6.525	25.825	29.85	29.645	24.89	9
"ENSMUSG00000001227_Sema6b"	1.65	1.48	1.57	7.705	24.82	26.31	26.615	30.155	9
"ENSMUSG00000054013_Tmem179"	1.515	0.86	0.48	2.43	15.825	24.055	22.78	29.375	10
"ENSMUSG00000037440_Vnn1"	0.04	0.22	30.35	12.525	0.46	0.18	0.06	0.125	5
"ENSMUSG00000030411_Nova2"	0.595	0.6	7.34	30.13	22.055	14.8	11.59	9.78	7
"ENSMUSG00000062175_Tgif2"	21.11	17.48	30.47	16.97	6.15	1.345	1.035	1.28	4
"ENSMUSG00000023033_Scn8a"	0.605	1	2.05	4.245	13.84	25.3	28.755	28.935	10
"ENSMUSG00000079560_Hoxa3"	0.045	0.07	30.51	17.395	13.535	9.395	7.87	7.185	5
"ENSMUSG00000079555_Haus3"	29.145	19.5	15.61	10.185	5.62	2.745	3.1	4.125	2
"ENSMUSG00000036473_Tbc1d24"	2.555	2.35	6.22	9.115	25.88	29.79	29.355	28.165	9
"ENSMUSG00000061080_Lsamp"	0.04	0.14	0.75	1.775	15.75	27.14	29.61	24.495	10
"ENSMUSG00000032024_9030425E11Rik"	1.055	0.76	7.76	21.68	30.13	19.01	14.525	10.225	7
"ENSMUSG00000032369_Plscr1"	9.745	14.68	30.61	10.02	3.05	0.955	0.585	0.6	4
"ENSMUSG00000039782_Cpeb2"	0.83	1.07	1.94	7.285	14.165	30.045	22.945	19.51	9
"ENSMUSG00000021286_Zfyve21"	30.095	19.93	19	17.73	6.865	2.87	2.015	2.605	3
"ENSMUSG00000032177_Pde4a"	6.59	2.95	0.89	0.585	2.945	12.49	19.8	30.435	10
"ENSMUSG00000026458_Ppfia4"	2.92	3.61	1.35	1.185	21.62	30.49	26.695	28.42	9
"ENSMUSG00000008734_Gprc5b"	4.19	2.99	15.17	5.51	4.39	10.39	16.445	30.725	10
"ENSMUSG00000054843_Atrnl1"	1.205	3.01	24.12	29.45	13.345	13.455	12.965	12.76	6
"ENSMUSG00000040420_Cdh18"	0.14	0.32	1.68	1.945	10.375	25.175	30.33	27.31	10
"ENSMUSG00000051111_Sv2c"	0.405	0.34	0.64	3.66	8.945	30.55	28.63	22.235	10
"ENSMUSG00000025227_Tmem180"	19.215	30.89	8.56	4.185	6.05	8.72	9.365	11.9	1
"ENSMUSG00000047766_Lrrc49"	3.48	3.19	12.49	25.88	22.31	20.36	22.655	30.145	7
"ENSMUSG00000030707_Coro1a"	8.53	3.87	3.4	9.305	28.465	26.585	28.58	30.485	9
"ENSMUSG00000040488_Ltbp4"	27.335	23.09	5.47	6.79	2.61	1.765	1.065	0.975	1
"ENSMUSG00000042195_Slc35f2"	29.53	29	2.8	0.98	6.81	4.545	2.665	1.52	1
"ENSMUSG00000020889_Nr1d1"	8.585	5.58	3.91	9.215	25.95	30.79	28.355	30.03	9
"ENSMUSG00000041957_Pkp2"	26.285	13.39	3.08	1.345	1.74	1.18	1.05	0.985	1
"ENSMUSG00000036913_Trim67"	0.12	0.04	2.29	14.825	30.85	13.71	4.565	2.215	7
"ENSMUSG00000030847_Bag3"	29.05	31.19	15.91	10.435	3.085	1.285	0.76	1.085	2
"ENSMUSG00000014704_Hoxa2"	0.03	0.11	31.21	22.23	10.94	5.56	4.9	4.695	5
"ENSMUSG00000078851_Hist3h2a"	1.12	2.73	5.96	28.105	30.3	18.335	15.665	21.9	7
"ENSMUSG00000002980_Bcam"	29.795	11.08	6.71	1.635	3.545	9.61	7.14	4.995	1
"ENSMUSG00000026347_Tmem163"	0.235	0.59	2.22	23.435	31.065	24.35	18.395	14.04	7
"ENSMUSG00000031379_Pir"	29.48	22.67	4.28	2.135	1.165	0.395	0.195	0.355	1
"ENSMUSG00000039187_Fanci"	29.48	26.66	9.1	2.08	1.245	0.12	0.09	0.055	1
"ENSMUSG00000018217_Pmp22"	0.625	4.2	25.15	29.885	7.87	5.725	3.165	3.625	5
"ENSMUSG00000049532_Sall2"	3.645	12.22	18.47	26.73	31.185	22.655	21.84	21.885	7
"ENSMUSG00000040537_Adam22"	1.725	3.89	3.4	5.375	14.11	29.575	31.17	28.56	10
"ENSMUSG00000021772_Nkiras1"	3.275	2.1	2.05	2.695	11.385	21.32	27.18	30.36	10
"ENSMUSG00000045038_Prkce"	0.46	1.12	8.98	8.73	24.45	31.07	29.525	29.17	9
"ENSMUSG00000026176_Ctdsp1"	10.425	16.5	31.34	28.06	6.5	2.24	1.47	2.285	4
"ENSMUSG00000037353_Letmd1"	3.51	3.12	23.62	18.67	30.495	31.035	26.11	16.99	7
"ENSMUSG00000059013_Sh2d3c"	3.75	1.75	5.21	22.57	26.105	30.695	27.27	28.335	8
"ENSMUSG00000074887_A630089N07Rik"	25.16	31.43	1.76	0.54	1.15	0.31	0.225	0.225	1
"ENSMUSG00000006218_Fam131c"	5.86	1.79	0.62	1.21	22.83	30.235	30.985	24.185	9
"ENSMUSG00000053062_Jam2"	15.475	31.46	21.86	19.905	11.155	2.78	2.155	2.725	3
"ENSMUSG00000041298_Katnal1"	1.97	1.79	5.63	8.265	14.95	18.03	22.14	30.59	10
"ENSMUSG00000043991_Pura"	4.67	5.07	1.91	2.36	3.61	25.09	31.22	30.05	10
"ENSMUSG00000037996_Slc24a2"	0.045	0.02	0.29	0.255	2.025	22.07	27.185	30.18	10
"ENSMUSG00000031217_Efnb1"	0.945	3.3	31.57	26.135	9.26	3.035	2.265	2.115	5
"ENSMUSG00000004415_Emid2"	0.41	0.38	18.13	30.795	9.79	5.985	2.76	1.445	6
"ENSMUSG00000021259_Cyp46a1"	0.345	0.29	4.91	1.275	19.305	30.87	29	28.415	9
"ENSMUSG00000026586_Prrx1"	0.005	0.17	8.4	30.855	1.365	0.465	0.24	0.36	6
"ENSMUSG00000019820_Utrn"	15.92	31.63	10.99	9.125	4.015	4.105	4.525	6.89	2
"ENSMUSG00000058070_Eml1"	1.925	5.42	31.64	9.995	9.65	8.145	5.515	4.455	5
"ENSMUSG00000019214_Chtf18"	30.14	29.85	15.11	5.005	2.3	0.335	0.3	0.295	2
"ENSMUSG00000036764_Dnajc12"	5.655	3.34	8.94	5.535	14.55	20.265	25.47	31.35	10
"ENSMUSG00000024913_Lrp5"	20.275	31.67	23.23	16.1	2.795	1.21	0.815	1.12	3
"ENSMUSG00000040972_Igsf21"	1.76	0.56	3.65	2.845	31.66	28.165	13.85	6.07	8
"ENSMUSG00000025207_Sema4g"	2.215	4.26	25.7	30.17	30.885	23.615	19.85	18.145	7
"ENSMUSG00000023243_Kcnk5"	29.485	31.7	8.19	6.53	1.735	0.305	0.14	0.14	2
"ENSMUSG00000035653_Lrfn5"	0.06	0.03	0.77	1.64	26.305	29.38	31.535	28.34	9
"ENSMUSG00000039716_Dock3"	1.375	0.54	1.67	5.02	15.59	24.135	26.14	30.74	10
"ENSMUSG00000027217_Tspan18"	0.16	0.96	19.83	31.045	8.63	5.505	3.31	3.605	6
"ENSMUSG00000026443_Lrrn2"	0.285	1.82	6.71	7.74	25	29.77	27.665	31.575	9
"ENSMUSG00000026442_Nfasc"	1.625	2.67	5.43	17.245	14.7	21.695	24.62	30.62	10
"ENSMUSG00000056367_Actr3b"	12.645	8.67	4.06	2.995	18.11	21.34	27.08	31.785	10
"ENSMUSG00000056671_Prelid2"	27.555	16.97	7.5	3.395	0.92	0.12	0.085	0.2	1
"ENSMUSG00000004317_Clcn5"	3.585	6.28	19.53	18.46	16.345	28.1	31.645	24.275	9
"ENSMUSG00000027082_Tfpi"	11.55	21.78	31.81	7.835	3.105	1.745	0.985	0.91	4
"ENSMUSG00000030528_Blm"	30.825	25.91	14.48	7.64	5.39	2.88	2.645	2.035	2
"ENSMUSG00000021285_Ppp1r13b"	4.445	2.46	3.33	7.24	30.07	31.7	29.955	27.655	9
"ENSMUSG00000050288_Fzd2"	4.665	6.05	22.71	29.215	3.775	1.1	0.99	2.035	5
"ENSMUSG00000026080_Chst10"	3.325	3.51	6.58	14.22	31.885	27.245	23.51	24.095	8
"ENSMUSG00000038235_F11r"	31.515	24.86	16.72	7.005	2.41	1.09	0.565	0.935	2
"ENSMUSG00000000805_Car4"	13.94	32.01	13.64	0.68	1.405	0.06	0.025	0.005	2
"ENSMUSG00000028494_Plin2"	12.86	16.28	32.02	18.355	2.47	2.025	1.475	2.67	4
"ENSMUSG00000053646_Plxnb1"	4.77	8.82	20.5	30.87	10.61	2.04	1.315	1.345	5
"ENSMUSG00000029178_Klf3"	24.76	32.07	17.18	15.07	5.01	2.475	2.115	2.4	3
"ENSMUSG00000025937_Lactb2"	29.955	22.31	13.12	6.73	4.525	2.765	3.3	5.415	1
"ENSMUSG00000041491_Cep78"	23.72	32.08	25.48	17.365	8.68	4.05	3.625	3.165	3
"ENSMUSG00000024502_Jakmip2"	1.51	0.67	6.29	20.305	32.045	27.525	27.115	26.365	8
"ENSMUSG00000023266_Frs3"	3.895	5.18	5.8	9.755	19.045	27.405	31.575	29.595	10
"ENSMUSG00000016024_Lbp"	0.44	0.21	32.11	4.095	0.39	0.305	0.12	0.07	5
"ENSMUSG00000037461_Ints7"	24.425	29.63	32.12	29.085	11.53	5.455	3.905	3.3	4
"ENSMUSG00000027111_Itga6"	29.83	31.52	18.99	13.73	6.065	2.025	1.56	1.03	2
"ENSMUSG00000067586_S1pr3"	1.13	0.99	16.86	31.72	8.26	2.64	2.035	3.105	6
"ENSMUSG00000004360_9330159F19Rik"	0.18	0.27	3.69	13.99	32.12	16.4	15.7	17.185	8
"ENSMUSG00000041736_Tspo"	30.51	30.68	12.51	4.85	1.26	0.57	0.32	0.54	2
"ENSMUSG00000079277_Hoxd3"	0.015	0.04	29.25	30.13	15.415	10.935	8.385	8.64	6
"ENSMUSG00000020083_2010107G23Rik"	6.45	5.35	2.85	5.68	32.135	16.94	12.435	9.09	8
"ENSMUSG00000018909_Arrb1"	6.36	2.86	6.64	16.54	28.54	32.06	25.81	24.525	8
"ENSMUSG00000037949_Ano10"	1.895	6.01	21.71	31.02	19.895	21.76	25.195	26.145	7
"ENSMUSG00000045817_Zfp36l2"	20.765	32.27	12.89	7.355	3.415	1.335	0.925	1.485	2
"ENSMUSG00000022177_Haus4"	28.395	24.11	16.63	8.935	4.665	2.81	2.685	3.885	2
"ENSMUSG00000027784_Ppm1l"	0.69	0.91	4.6	12.44	17.655	25.91	32.255	27.97	9
"ENSMUSG00000028641_Lepre1"	13.005	14.87	22.1	31.495	6.94	3.625	2.86	3.785	5
"ENSMUSG00000022528_Hes1"	14.425	32.33	20.76	16.085	5.275	1.855	1.185	1.39	3
"ENSMUSG00000029156_Sgcb"	2.3	2.61	6.87	6.89	20.545	31.535	31.2	28.325	9
"ENSMUSG00000020607_Fam84a"	0.62	0.53	3.57	14.495	23.795	31.48	29.815	23.52	8
"ENSMUSG00000001517_Foxm1"	16.535	25.6	32.35	10.98	4.295	1.065	0.73	0.65	4
"ENSMUSG00000027584_Oprl1"	0.565	0.13	0.57	5.335	12.42	23.52	28.11	32.06	10
"ENSMUSG00000022263_Trio"	2.79	4.45	13.11	29.9	31.11	20.955	16.495	16.1	7
"ENSMUSG00000027950_Chrnb2"	0.79	0.58	6.47	31.91	23.05	26.115	26.845	25.475	7
"ENSMUSG00000037443_Ccdc21"	32.08	28.93	14.94	7.915	5.86	2.445	2.24	2.655	2
"ENSMUSG00000026039_Sgol2"	22.705	32.45	16.38	6.01	2.36	0.31	0.22	0.165	2
"ENSMUSG00000059361_Nrsn2"	1.835	0.31	0.09	0.44	3.195	19.205	25.87	31.545	10
"ENSMUSG00000036902_Neto2"	0.79	0.64	11.25	13.65	32.07	31.755	28.71	23.125	8
"ENSMUSG00000029778_Adcyap1r1"	0.51	0.4	0.98	2.805	16.52	28.635	29.29	31.765	10
"ENSMUSG00000001119_Col6a1"	0.335	0.26	1.7	23.17	23.125	28.545	12.805	13.16	7
"ENSMUSG00000045034_Ankrd34b"	0.405	0.14	0.17	0.09	3.89	14.425	26	32.41	10
"ENSMUSG00000029603_Dtx1"	6.415	5.44	1.15	5.055	31.185	32.415	27.12	23.84	9
"ENSMUSG00000031105_Slc25a14"	2.53	2.95	7.24	10.49	16.1	18.855	22.415	31.76	10
"ENSMUSG00000034730_Bai1"	1.52	1.59	4	4.54	22.6	27.67	27.365	32.735	9
"ENSMUSG00000040564_Apoc1"	31.915	22.62	1.29	0.26	0.72	0.03	0.03	0.025	1
"ENSMUSG00000038932_Tcfl5"	31.57	23.43	4.38	2.09	3.505	0.685	0.41	0.305	1
"ENSMUSG00000029313_Aff1"	14.99	32.84	8.54	7.09	1.3	0.835	0.91	1.02	2
"ENSMUSG00000042464_Hoxd4"	0.09	0.18	32.85	16.53	6.315	5.515	4.29	5.11	5
"ENSMUSG00000036062_N28178"	0.05	0.02	0.78	1.195	19.175	32.605	32.3	30.425	10
"ENSMUSG00000029161_Cgref1"	8.845	9.09	5.35	3.225	24.035	32.23	29.01	29.1	9
"ENSMUSG00000030584_Dpf1"	4.49	2.51	5.44	21.095	32.635	17.82	12.025	8.61	7
"ENSMUSG00000034863_Ano8"	3.45	3.89	13.15	23.04	22.965	24.03	28.68	32.57	8
"ENSMUSG00000031995_St14"	32.48	31.15	3.08	1.055	1.435	0.35	0.195	0.15	1
"ENSMUSG00000042401_Crtac1"	0.6	4.58	3.03	7.675	10.06	29.515	32.265	23.55	10
"ENSMUSG00000089862_Gm16039"	1.04	1.19	5.5	8.26	20.545	30.385	32.88	28.69	9
"ENSMUSG00000010154_Spire2"	7.85	5.25	4.07	16.15	21.105	21.62	26.375	32.635	10
"ENSMUSG00000031409_Tceal6"	0.845	0.75	1	2.35	6.965	17.475	24.7	29.595	10
"ENSMUSG00000063354_Slc39a4"	31.995	17.28	8.05	2.305	1.155	0.345	0.11	0.11	1
"ENSMUSG00000028108_Ecm1"	1.26	0.83	33.03	1.52	1.335	2.395	1.16	2.575	5
"ENSMUSG00000029595_Lhx5"	0.06	0.09	10.37	29.36	1.93	3.2	2.955	3.26	6
"ENSMUSG00000052911_Lamb2"	5.26	4.76	33.04	14.85	4.565	2.035	1.595	2.725	5
"ENSMUSG00000031153_Gripap1"	4.055	5.9	11.62	18.905	26.665	26.345	25.89	32.895	8
"ENSMUSG00000030428_Ttyh1"	3.38	5.68	4.73	6.605	32.94	27.04	25.845	23.795	8
"ENSMUSG00000022849_Hspbap1"	31.74	21.28	3.13	2.815	2.235	1.18	1.09	1.325	1
"ENSMUSG00000047037_Nipa1"	2.215	2.43	4.86	9.015	23.605	31.125	32.83	28.72	9
"ENSMUSG00000001062_1300018I17Rik"	2.915	4.8	14.58	20.825	26.885	28.15	27.135	32.53	8
"ENSMUSG00000019894_Slc6a15"	2.58	6.22	3.61	2.945	17.805	29.385	32.675	27.2	10
"ENSMUSG00000060882_Kcnd2"	0.105	0.03	0.42	0.875	20.85	32.955	30.995	25.46	9
"ENSMUSG00000027312_Atrn"	2.78	3.5	9.7	14.075	23.585	33.155	29.625	27.265	9
"ENSMUSG00000033222_Ttf2"	31.845	32.17	16.14	6.68	2.72	0.99	0.965	1.025	2
"ENSMUSG00000038807_Rap1gap2"	1.14	0.92	1.98	7.305	12.05	17.37	22.185	32.795	10
"ENSMUSG00000032518_Rpsa"	23.61	33.3	25.03	15.035	8.06	5.705	5.25	3.725	3
"ENSMUSG00000030376_Slc8a2"	1.32	1.25	6.1	26.61	24.97	32.68	24.415	15.07	7
"ENSMUSG00000024059_Clip4"	3.445	4.3	2.51	2.66	8.49	17.025	24.125	33.05	10
"ENSMUSG00000026932_Nacc2"	1.045	0.76	2.96	3.355	8.565	14.43	20.44	33.03	10
"ENSMUSG00000021965_F630043A04Rik"	33.055	29.73	19.59	6.085	3.415	1.11	0.77	0.705	2
"ENSMUSG00000069072_Slc7a14"	0.49	0.28	0.56	1.465	11.42	26.725	29.735	32.185	10
"ENSMUSG00000032712_2810474O19Rik"	21.44	33.46	21.54	10.45	4.555	2.39	1.905	2.2	3
"ENSMUSG00000050357_Rltpr"	6.245	4.73	1.47	3.005	15.315	21.315	24.865	32.945	10
"ENSMUSG00000026049_1700029F09Rik"	32.535	20.96	23.47	14.17	5.915	3.105	3.255	3.75	3
"ENSMUSG00000018750_Zbtb4"	0.255	0.73	3.01	3.375	8.87	20.69	23.78	32.705	10
"ENSMUSG00000013766_Ly6g6e"	15.085	33.59	0.36	0.21	0.02	0	0.015	0.02	1
"ENSMUSG00000035566_Pcdh17"	0.045	0.27	1.86	4.055	21.13	33.585	27.28	17.875	9
"ENSMUSG00000026610_Esrrg"	0.045	0.07	1.69	6.6	10.575	26.37	32.735	27.535	10
"ENSMUSG00000062170_Fmr1nb"	22.575	32.03	33.64	10.435	2.905	1.2	0.915	0.97	3
"ENSMUSG00000027574_Nkain4"	0.515	0.72	10.01	33.65	8.995	6.18	4	3.58	6
"ENSMUSG00000043885_Slc36a4"	1.26	1.48	10.74	16.4	20.455	29.79	32.31	33.235	9
"ENSMUSG00000022321_Cdh10"	0.9	1.42	2.21	2.52	27.215	29.33	33.7	30.975	9
"ENSMUSG00000063320_1190007I07Rik"	30.135	23.63	7.33	2.365	5.49	3.21	3.76	3.895	1
"ENSMUSG00000004872_Pax3"	0.055	0.28	33.74	9.355	0.68	0.08	0.115	0.225	5
"ENSMUSG00000026189_Pecr"	31.57	22.64	9.04	5.3	2.985	2.59	2.83	2.705	1
"ENSMUSG00000030602_Pak4"	32.825	33.74	22.88	13.625	5.8	1.43	1.12	1.275	3
"ENSMUSG00000042751_Nmnat2"	6.06	9.45	2.84	15.27	33.64	28.585	29.835	33.52	9
"ENSMUSG00000055013_Agap1"	3.97	7.35	12.25	31.88	33.685	32.56	27.545	20.5	7
"ENSMUSG00000027603_Ggt7"	1.535	1.31	6.7	13.955	23.49	30.025	31.405	33.175	9
"ENSMUSG00000000365_Rnf17"	28.515	33.78	3.49	1.01	0.62	0.075	0.085	0.025	1
"ENSMUSG00000041268_Dmxl2"	4.23	4.57	4.23	6.55	21.145	33.645	32.58	30.405	9
"ENSMUSG00000087141_Plcxd2"	1.26	1.33	5.27	4.39	15.68	32.975	32.645	31.22	10
"ENSMUSG00000026620_Mark1"	1.695	2.48	16.33	29.91	33.785	27.27	26.65	29.49	7
"ENSMUSG00000079157_Fam155a"	0.065	0.11	3.3	10.73	23.975	32.455	32.215	31.48	9
"ENSMUSG00000039154_Shd"	0.435	0.93	16.58	32.635	30.85	22.945	22.515	24.93	7
"ENSMUSG00000029802_Abcg2"	33.165	23.22	11.62	9.63	4.89	2.725	2.09	2.52	1
"ENSMUSG00000055799_Tcf7l1"	21.325	33.93	22.05	24.11	5.24	0.795	0.425	0.55	3
"ENSMUSG00000032625_Thsd7a"	0.145	0.97	3.17	30.93	10.195	16.515	21.41	21.05	7
"ENSMUSG00000044847_Lsm11"	3.525	3.61	5.55	10.5	26.785	33.855	25.555	16.85	8
"ENSMUSG00000028413_B4galt1"	12.22	11.19	34.04	28.895	4.945	2.065	1.155	1.6	5
"ENSMUSG00000038267_Slc22a23"	0.875	3.74	14.61	10.415	33.715	33.365	32.18	25.965	8
"ENSMUSG00000020743_Mif4gd"	31.455	28.5	15.99	8.86	5.59	2.325	2.725	3.945	2
"ENSMUSG00000027552_E2f5"	24.785	34.15	25.77	11.355	6.965	2.455	1.675	1.835	3
"ENSMUSG00000044071_Fam19a2"	0.03	0.05	0.57	2.85	33.91	31.63	26.905	19.62	8
"ENSMUSG00000048349_Pou4f1"	1.275	0.95	5.12	27.055	34.12	10.605	6.845	5.37	7
"ENSMUSG00000028807_Zbtb8a"	30.82	25.58	3.53	7.425	5.95	2.95	2.655	2.335	1
"ENSMUSG00000029521_Chek2"	33.605	17.5	7.93	2.3	1.95	0.74	1.155	1.575	1
"ENSMUSG00000039199_Zdhhc1"	1.785	3.3	9.74	8.81	11.035	14.675	21.245	33.64	10
"ENSMUSG00000017400_Stac2"	8.755	4.64	1.96	3.805	18.145	18.615	24.9	33.905	10
"ENSMUSG00000022322_Shcbp1"	23.125	29.56	34.27	12.09	4.91	1.04	0.98	0.69	3
"ENSMUSG00000037315_Phf16"	32.08	26.35	20.4	8.885	4.81	2.125	1.76	1.395	2
"ENSMUSG00000021303_Gng4"	0.06	0.05	0.28	0.38	24.36	32.47	23.14	12.45	8
"ENSMUSG00000019989_Enpp3"	26.185	34.37	1.78	1.245	2.275	0.37	0.24	0.245	1
"ENSMUSG00000029913_Prdm5"	17.36	34.4	4.58	3.22	1.075	0.215	0.105	0.185	2
"ENSMUSG00000035873_Pawr"	28.495	18.72	34.4	9.395	3.735	1.095	1.205	1.445	3
"ENSMUSG00000036617_Etl4"	17.635	34.4	12.35	4.11	4.415	11.59	11.37	11.15	2
"ENSMUSG00000041073_Nacad"	0.25	0.17	4.27	22.075	23.17	29.35	33.91	26.275	8
"ENSMUSG00000038602_Slc35f1"	0.59	0.53	5	5.255	32.575	32.865	34.31	27.12	9
"ENSMUSG00000027030_Stk39"	1.86	8.21	28.38	31.915	28.72	31.975	34.4	30.825	7
"ENSMUSG00000025255_Zfhx4"	0.115	0.47	10.32	30.63	13.945	12.58	12.195	10.96	6
"ENSMUSG00000074832_2410141K09Rik"	25.755	34.5	1.4	1.12	0.625	0.18	0.175	0.26	1
"ENSMUSG00000060550_H2-Q7"	5.515	3	34.53	3.325	1.035	0.465	0.16	0.285	4
"ENSMUSG00000027200_Sema6d"	0.105	0.49	11.2	13.085	34.045	23.885	20.595	17.89	8
"ENSMUSG00000040447_Spns2"	1.59	2.71	6.72	15.17	16.765	17.97	24.08	34.25	10
"ENSMUSG00000028035_Dnajb4"	2.54	4.14	8.21	12.22	18.83	23.585	26.11	34.175	10
"ENSMUSG00000000253_Gmpr"	18.715	8.7	3.32	3.12	13.395	17.09	24.855	32.535	10
"ENSMUSG00000019873_Reep3"	5.13	6.96	24.92	31.835	9.505	3.33	2.165	2.065	5
"ENSMUSG00000025927_Tcfap2b"	0.01	0.06	10.1	33.48	10.43	2.73	1.385	0.96	6
"ENSMUSG00000033031_C330027C09Rik"	33.655	33.41	23.35	7.735	4.215	0.9	0.82	0.48	2
"ENSMUSG00000030930_Chst15"	1.02	2.22	31.21	33.955	13.55	11.47	11.3	10.765	6
"ENSMUSG00000030225_Dera"	33.545	29.06	31.93	21.06	7.64	4.45	3.455	1.645	3
"ENSMUSG00000032194_Kank2"	20.345	34.75	11.65	10.625	1.95	1.12	0.995	1.28	2
"ENSMUSG00000032346_Ooep"	24.835	34.84	0.97	0.42	0.465	0.015	0.05	0.03	1
"ENSMUSG00000021719_Rgs7bp"	0.05	0.08	0.45	0.99	11.555	25.3	31.925	33.32	10
"ENSMUSG00000040258_Nxph4"	1.1	0.32	9.6	17.95	7.695	34.1	30.91	20.51	9
"ENSMUSG00000039478_Efha2"	3.07	4.88	2.99	7.155	15.69	27.935	33.525	34.49	10
"ENSMUSG00000020380_Rad50"	32.07	26.98	11.56	5.77	4.46	2.99	2.975	3.89	1
"ENSMUSG00000057098_Ebf1"	0.585	1.74	9.23	33.775	15.7	6.725	3.95	3.435	6
"ENSMUSG00000038692_Hoxb4"	0.07	0.19	34.99	15.42	10.66	14.41	14.56	17.53	6
"ENSMUSG00000048327_Ckap2l"	28.405	34.99	29.96	11.32	4.52	0.41	0.22	0.12	3
"ENSMUSG00000070527_Mkrn3"	2.24	1.35	4.07	6.375	13.71	34.785	33.84	20.58	9
"ENSMUSG00000042388_Dlgap3"	4.64	9.14	2.73	6.235	25.105	33.12	24.49	22.76	9
"ENSMUSG00000042903_Foxo4"	19	13.44	35.06	16.645	6.19	1.515	1.34	2.13	4
"ENSMUSG00000030447_Cyfip1"	30.315	35.22	29.13	21.405	12.27	5.46	3.67	4.13	3
"ENSMUSG00000034098_Fstl5"	0.315	0.24	4.37	23.225	24.87	28.99	34.66	31.48	8
"ENSMUSG00000062496_4930431F12Rik"	9.56	10.85	16.52	28.84	3.465	2.745	1.65	2.26	5
"ENSMUSG00000029270_Fam69a"	5.475	3.14	7.1	10.81	27.425	35.18	34.09	32.265	9
"ENSMUSG00000031928_Mre11a"	33.655	24.67	16.52	8.41	5.65	2.865	2.875	2.62	2
